,Datetime,Frequency,db
0,2024-08-01 11:16:19.259670,88000000.0,-74.25
51,2024-08-01 11:16:19.259670,88000000.0,-71.4
102,2024-08-01 11:16:19.259670,88000000.0,-66.8
153,2024-08-01 11:16:19.259670,88000000.0,-67.69
204,2024-08-01 11:16:19.259670,88000000.0,-71.27
255,2024-08-01 11:16:19.259670,88000000.0,-69.33
306,2024-08-01 11:16:19.259670,88000000.0,-74.05
357,2024-08-01 11:16:19.259670,88000000.0,-73.91
1,2024-08-01 11:16:19.259670,88098039.22,-61.66
52,2024-08-01 11:16:19.259670,88098039.22,-63.19
103,2024-08-01 11:16:19.259670,88098039.22,-62.25
154,2024-08-01 11:16:19.259670,88098039.22,-70.82
205,2024-08-01 11:16:19.259670,88098039.22,-71.55
256,2024-08-01 11:16:19.259670,88098039.22,-72.35
307,2024-08-01 11:16:19.259670,88098039.22,-71.8
358,2024-08-01 11:16:19.259670,88098039.22,-68.78
2,2024-08-01 11:16:19.259670,88196078.44,-62.53
53,2024-08-01 11:16:19.259670,88196078.44,-67.38
104,2024-08-01 11:16:19.259670,88196078.44,-68.19
155,2024-08-01 11:16:19.259670,88196078.44,-67.31
206,2024-08-01 11:16:19.259670,88196078.44,-65.8
257,2024-08-01 11:16:19.259670,88196078.44,-63.31
308,2024-08-01 11:16:19.259670,88196078.44,-65.62
359,2024-08-01 11:16:19.259670,88196078.44,-62.59
3,2024-08-01 11:16:19.259670,88294117.66,-69.16
54,2024-08-01 11:16:19.259670,88294117.66,-88.96
105,2024-08-01 11:16:19.259670,88294117.66,-98.64
156,2024-08-01 11:16:19.259670,88294117.66,-84.01
207,2024-08-01 11:16:19.259670,88294117.66,-67.76
258,2024-08-01 11:16:19.259670,88294117.66,-71.21
309,2024-08-01 11:16:19.259670,88294117.66,-67.08
360,2024-08-01 11:16:19.259670,88294117.66,-65.92
4,2024-08-01 11:16:19.259670,88392156.88,-70.39
55,2024-08-01 11:16:19.259670,88392156.88,-76.0
106,2024-08-01 11:16:19.259670,88392156.88,-78.26
157,2024-08-01 11:16:19.259670,88392156.88,-76.1
208,2024-08-01 11:16:19.259670,88392156.88,-70.78
259,2024-08-01 11:16:19.259670,88392156.88,-77.46
310,2024-08-01 11:16:19.259670,88392156.88,-73.89
361,2024-08-01 11:16:19.259670,88392156.88,-79.05
5,2024-08-01 11:16:19.259670,88490196.1,-76.67
56,2024-08-01 11:16:19.259670,88490196.1,-74.86
107,2024-08-01 11:16:19.259670,88490196.1,-77.48
158,2024-08-01 11:16:19.259670,88490196.1,-72.72
209,2024-08-01 11:16:19.259670,88490196.1,-68.16
260,2024-08-01 11:16:19.259670,88490196.1,-84.14
311,2024-08-01 11:16:19.259670,88490196.1,-76.9
362,2024-08-01 11:16:19.259670,88490196.1,-73.13
6,2024-08-01 11:16:19.259670,88588235.32,-82.98
57,2024-08-01 11:16:19.259670,88588235.32,-69.8
108,2024-08-01 11:16:19.259670,88588235.32,-78.09
159,2024-08-01 11:16:19.259670,88588235.32,-67.78
210,2024-08-01 11:16:19.259670,88588235.32,-68.58
261,2024-08-01 11:16:19.259670,88588235.32,-94.8
312,2024-08-01 11:16:19.259670,88588235.32,-80.3
363,2024-08-01 11:16:19.259670,88588235.32,-73.17
7,2024-08-01 11:16:19.259670,88686274.54,-82.33
58,2024-08-01 11:16:19.259670,88686274.54,-70.44
109,2024-08-01 11:16:19.259670,88686274.54,-75.66
160,2024-08-01 11:16:19.259670,88686274.54,-79.6
211,2024-08-01 11:16:19.259670,88686274.54,-72.67
262,2024-08-01 11:16:19.259670,88686274.54,-80.93
313,2024-08-01 11:16:19.259670,88686274.54,-73.48
364,2024-08-01 11:16:19.259670,88686274.54,-72.18
8,2024-08-01 11:16:19.259670,88784313.76,-83.6
59,2024-08-01 11:16:19.259670,88784313.76,-74.54
110,2024-08-01 11:16:19.259670,88784313.76,-79.57
161,2024-08-01 11:16:19.259670,88784313.76,-73.57
212,2024-08-01 11:16:19.259670,88784313.76,-78.22
263,2024-08-01 11:16:19.259670,88784313.76,-87.45
314,2024-08-01 11:16:19.259670,88784313.76,-71.73
365,2024-08-01 11:16:19.259670,88784313.76,-69.14
9,2024-08-01 11:16:19.259670,88882352.98,-83.81
60,2024-08-01 11:16:19.259670,88882352.98,-71.31
111,2024-08-01 11:16:19.259670,88882352.98,-77.02
162,2024-08-01 11:16:19.259670,88882352.98,-72.99
213,2024-08-01 11:16:19.259670,88882352.98,-81.4
264,2024-08-01 11:16:19.259670,88882352.98,-80.09
315,2024-08-01 11:16:19.259670,88882352.98,-85.78
366,2024-08-01 11:16:19.259670,88882352.98,-71.09
10,2024-08-01 11:16:19.259670,88980392.2,-86.6
61,2024-08-01 11:16:19.259670,88980392.2,-69.0
112,2024-08-01 11:16:19.259670,88980392.2,-72.76
163,2024-08-01 11:16:19.259670,88980392.2,-71.66
214,2024-08-01 11:16:19.259670,88980392.2,-72.83
265,2024-08-01 11:16:19.259670,88980392.2,-82.17
316,2024-08-01 11:16:19.259670,88980392.2,-71.13
367,2024-08-01 11:16:19.259670,88980392.2,-69.57
11,2024-08-01 11:16:19.259670,89078431.42,-77.0
62,2024-08-01 11:16:19.259670,89078431.42,-67.15
113,2024-08-01 11:16:19.259670,89078431.42,-68.78
164,2024-08-01 11:16:19.259670,89078431.42,-71.9
215,2024-08-01 11:16:19.259670,89078431.42,-73.76
266,2024-08-01 11:16:19.259670,89078431.42,-72.8
317,2024-08-01 11:16:19.259670,89078431.42,-69.4
368,2024-08-01 11:16:19.259670,89078431.42,-68.91
12,2024-08-01 11:16:19.259670,89176470.64,-78.72
63,2024-08-01 11:16:19.259670,89176470.64,-70.93
114,2024-08-01 11:16:19.259670,89176470.64,-70.57
165,2024-08-01 11:16:19.259670,89176470.64,-73.13
216,2024-08-01 11:16:19.259670,89176470.64,-73.68
267,2024-08-01 11:16:19.259670,89176470.64,-69.89
318,2024-08-01 11:16:19.259670,89176470.64,-73.76
369,2024-08-01 11:16:19.259670,89176470.64,-70.76
13,2024-08-01 11:16:19.259670,89274509.86,-71.35
64,2024-08-01 11:16:19.259670,89274509.86,-68.54
115,2024-08-01 11:16:19.259670,89274509.86,-83.03
166,2024-08-01 11:16:19.259670,89274509.86,-74.32
217,2024-08-01 11:16:19.259670,89274509.86,-70.46
268,2024-08-01 11:16:19.259670,89274509.86,-73.11
319,2024-08-01 11:16:19.259670,89274509.86,-81.42
370,2024-08-01 11:16:19.259670,89274509.86,-70.68
14,2024-08-01 11:16:19.259670,89372549.08,-74.86
65,2024-08-01 11:16:19.259670,89372549.08,-70.99
116,2024-08-01 11:16:19.259670,89372549.08,-73.04
167,2024-08-01 11:16:19.259670,89372549.08,-75.86
218,2024-08-01 11:16:19.259670,89372549.08,-82.59
269,2024-08-01 11:16:19.259670,89372549.08,-76.64
320,2024-08-01 11:16:19.259670,89372549.08,-80.92
371,2024-08-01 11:16:19.259670,89372549.08,-71.19
15,2024-08-01 11:16:19.259670,89470588.3,-77.2
66,2024-08-01 11:16:19.259670,89470588.3,-93.74
117,2024-08-01 11:16:19.259670,89470588.3,-71.18
168,2024-08-01 11:16:19.259670,89470588.3,-81.78
219,2024-08-01 11:16:19.259670,89470588.3,-70.78
270,2024-08-01 11:16:19.259670,89470588.3,-90.98
321,2024-08-01 11:16:19.259670,89470588.3,-74.22
372,2024-08-01 11:16:19.259670,89470588.3,-75.74
16,2024-08-01 11:16:19.259670,89568627.52,-71.06
67,2024-08-01 11:16:19.259670,89568627.52,-74.23
118,2024-08-01 11:16:19.259670,89568627.52,-74.91
169,2024-08-01 11:16:19.259670,89568627.52,-72.77
220,2024-08-01 11:16:19.259670,89568627.52,-72.5
271,2024-08-01 11:16:19.259670,89568627.52,-82.93
322,2024-08-01 11:16:19.259670,89568627.52,-67.11
373,2024-08-01 11:16:19.259670,89568627.52,-83.9
17,2024-08-01 11:16:19.259670,89666666.74,-76.04
68,2024-08-01 11:16:19.259670,89666666.74,-73.08
119,2024-08-01 11:16:19.259670,89666666.74,-72.33
170,2024-08-01 11:16:19.259670,89666666.74,-73.49
221,2024-08-01 11:16:19.259670,89666666.74,-69.27
272,2024-08-01 11:16:19.259670,89666666.74,-70.96
323,2024-08-01 11:16:19.259670,89666666.74,-70.11
374,2024-08-01 11:16:19.259670,89666666.74,-75.11
18,2024-08-01 11:16:19.259670,89764705.96,-68.79
69,2024-08-01 11:16:19.259670,89764705.96,-80.5
120,2024-08-01 11:16:19.259670,89764705.96,-71.73
171,2024-08-01 11:16:19.259670,89764705.96,-75.59
222,2024-08-01 11:16:19.259670,89764705.96,-70.17
273,2024-08-01 11:16:19.259670,89764705.96,-67.91
324,2024-08-01 11:16:19.259670,89764705.96,-75.56
375,2024-08-01 11:16:19.259670,89764705.96,-79.55
19,2024-08-01 11:16:19.259670,89862745.18,-70.18
70,2024-08-01 11:16:19.259670,89862745.18,-75.73
121,2024-08-01 11:16:19.259670,89862745.18,-76.03
172,2024-08-01 11:16:19.259670,89862745.18,-74.43
223,2024-08-01 11:16:19.259670,89862745.18,-74.6
274,2024-08-01 11:16:19.259670,89862745.18,-73.03
325,2024-08-01 11:16:19.259670,89862745.18,-76.34
376,2024-08-01 11:16:19.259670,89862745.18,-78.03
20,2024-08-01 11:16:19.259670,89960784.4,-74.32
71,2024-08-01 11:16:19.259670,89960784.4,-72.77
122,2024-08-01 11:16:19.259670,89960784.4,-69.06
173,2024-08-01 11:16:19.259670,89960784.4,-78.42
224,2024-08-01 11:16:19.259670,89960784.4,-78.21
275,2024-08-01 11:16:19.259670,89960784.4,-84.87
326,2024-08-01 11:16:19.259670,89960784.4,-77.75
377,2024-08-01 11:16:19.259670,89960784.4,-70.99
21,2024-08-01 11:16:19.259670,90058823.62,-69.52
72,2024-08-01 11:16:19.259670,90058823.62,-75.52
123,2024-08-01 11:16:19.259670,90058823.62,-66.8
174,2024-08-01 11:16:19.259670,90058823.62,-76.8
225,2024-08-01 11:16:19.259670,90058823.62,-74.01
276,2024-08-01 11:16:19.259670,90058823.62,-73.88
327,2024-08-01 11:16:19.259670,90058823.62,-77.82
378,2024-08-01 11:16:19.259670,90058823.62,-74.95
22,2024-08-01 11:16:19.259670,90156862.84,-70.2
73,2024-08-01 11:16:19.259670,90156862.84,-77.64
124,2024-08-01 11:16:19.259670,90156862.84,-69.24
175,2024-08-01 11:16:19.259670,90156862.84,-79.44
226,2024-08-01 11:16:19.259670,90156862.84,-78.87
277,2024-08-01 11:16:19.259670,90156862.84,-77.89
328,2024-08-01 11:16:19.259670,90156862.84,-82.36
379,2024-08-01 11:16:19.259670,90156862.84,-73.74
23,2024-08-01 11:16:19.259670,90254902.06,-68.31
74,2024-08-01 11:16:19.259670,90254902.06,-83.15
125,2024-08-01 11:16:19.259670,90254902.06,-74.77
176,2024-08-01 11:16:19.259670,90254902.06,-68.88
227,2024-08-01 11:16:19.259670,90254902.06,-79.24
278,2024-08-01 11:16:19.259670,90254902.06,-80.26
329,2024-08-01 11:16:19.259670,90254902.06,-90.88
380,2024-08-01 11:16:19.259670,90254902.06,-73.41
24,2024-08-01 11:16:19.259670,90352941.28,-71.73
75,2024-08-01 11:16:19.259670,90352941.28,-76.16
126,2024-08-01 11:16:19.259670,90352941.28,-84.78
177,2024-08-01 11:16:19.259670,90352941.28,-71.25
228,2024-08-01 11:16:19.259670,90352941.28,-75.41
279,2024-08-01 11:16:19.259670,90352941.28,-70.58
330,2024-08-01 11:16:19.259670,90352941.28,-91.63
381,2024-08-01 11:16:19.259670,90352941.28,-80.77
25,2024-08-01 11:16:19.259670,90450980.5,-73.66
76,2024-08-01 11:16:19.259670,90450980.5,-71.97
